freq  i  field  SR124
5.0 3.03484 597.7497036 1.2074971
5.0 3.00484 592.0410036 1.12394423969
5.0 2.97484 586.3323036 1.19265759585
5.0 2.94484 580.6236036 1.20717450208
5.0 2.91484 574.9149036 1.14813908341
5.0 2.88484 569.2062036 1.18588303961
5.0 2.85484 563.4975036 1.14620349591
5.0 2.82484 557.7888036 1.145880898
5.0 2.79484 552.0801036 1.19265759585
5.0 2.76484 546.3714036 1.22685297497
5.0 2.73484 540.6627036 1.15749442298
5.0 2.70484 534.9540036 1.1897542146
5.0 2.67484 529.2453036 1.15523623757
5.0 2.64484 523.5366036 1.13749335217
5.0 2.61484 517.8279036 1.1042657668
5.0 2.58484 512.1192036 1.14781648549
5.0 2.55484 506.4105036 1.22846596455
5.0 2.52484 500.7018036 1.10845953971
5.0 2.50933 497.7504057 1.09265224182
5.0 2.5067 497.249943 1.06426362519
5.0 2.50407 496.7494803 1.10781434388
5.0 2.50144 496.2490176 1.2055615125
5.0 2.49881 495.7485549 1.08265170641
5.0 2.49618 495.2480922 1.13329957926
5.0 2.49355 494.7476295 1.15297805215
5.0 2.49092 494.2471668 1.14813908341
5.0 2.48829 493.7467041 1.07716754184
5.0 2.48566 493.2462414 1.12846061052
5.0 2.48303 492.7457787 1.10297537514
5.0 2.4804 492.245316 1.13717075426
5.0 2.47777 491.7448533 1.19491578126
5.0 2.47514 491.2443906 1.05587607936
5.0 2.47251 490.7439279 1.16749495838
5.0 2.46988 490.2434652 1.07200597518
5.0 2.46725 489.7430025 1.15749442298
5.0 2.46462 489.2425398 1.08458729391
5.0 2.46199 488.7420771 1.07813533559
5.0 2.45936 488.2416144 1.07523195434
5.0 2.45673 487.7411517 1.02942305023
5.0 2.4541 487.240689 1.10362057097
5.0 2.45147 486.7402263 1.08007092308
5.0 2.44884 486.2397636 1.06619921268
5.0 2.44621 485.7393009 1.1200730647
5.0 2.44358 485.2388382 1.10168498347
5.0 2.44095 484.7383755 1.04490775021
5.0 2.43832 484.2379128 1.09974939597
5.0 2.43569 483.7374501 1.04748853354
5.0 2.43306 483.2369874 1.12942840427
5.0 2.43043 482.7365247 1.0387783898
5.0 2.4278 482.236062 1.02522927732
5.0 2.42517 481.7355993 1.00845418568
5.0 2.42254 481.2351366 1.018777319
5.0 2.41991 480.7346739 1.01168016484
5.0 2.41728 480.2342112 1.04523034813
5.0 2.41465 479.7337485 1.04587554396
5.0 2.41202 479.2332858 1.0823291085
5.0 2.40939 478.7328231 1.0923296439
5.0 2.40676 478.2323604 1.06813480018
5.0 2.40413 477.7318977 1.02458408149
5.0 2.4015 477.231435 1.08620028349
5.0 2.39887 476.7309723 1.03619760647
5.0 2.39624 476.2305096 1.02942305023
5.0 2.39361 475.7300469 1.08587768557
5.0 2.39098 475.2295842 1.07523195434
5.0 2.38835 474.7291215 1.04490775021
5.0 2.38572 474.2286588 1.01555133983
5.0 2.38309 473.7281961 1.0426495648
5.0 2.38046 473.2277334 0.994905073196
5.0 2.37783 472.7272707 0.954902931582
5.0 2.3752 472.226808 0.928127304534
5.0 2.37257 471.7263453 1.02232589608
5.0 2.36994 471.2258826 1.04845632729
